x,z,taille
# Ensemble de particules : N = 100 | d = 0.1 | E_0 = 1 | taille = 0
-9.75,-21.05,0
-0.65,24.65,0
23.25,11.55,0
21.15,-7.05,0
-19.25,-11.25,0
-4.15,-12.25,0
-18.25,20.05,0
23.55,11.25,0
-20.25,20.55,0
22.95,-16.65,0
0.85,-10.05,0
-9.35,-13.75,0
23.25,6.05,0
10.15,-23.15,0
6.15,7.45,0
0.65,-24.65,0
11.55,-3.45,0
-15.75,-2.95,0
9.05,24.25,0
-12.15,-19.85,0
3.95,9.25,0
-8.85,-12.95,0
7.05,-2.25,0
-18.45,-6.65,0
-15.25,-19.35,0
-1.05,-19.35,0
8.45,-12.65,0
-7.75,13.85,0
-12.45,-11.35,0
18.35,5.85,0
0.65,20.35,0
4.75,12.15,0
19.85,1.75,0
-16.45,-10.05,0
-22.45,3.15,0
-22.05,-15.95,0
-3.55,-7.55,0
18.55,24.75,0
-9.75,9.25,0
23.95,6.65,0
16.45,-10.25,0
11.65,-16.85,0
3.55,7.75,0
-15.05,2.05,0
10.45,22.95,0
24.85,-14.15,0
-15.05,-9.45,0
22.45,-17.85,0
21.95,-13.05,0
-22.85,-3.65,0
16.35,24.55,0
-23.45,-12.25,0
20.55,-8.75,0
5.35,-17.25,0
-14.15,17.35,0
-2.15,19.85,0
-19.95,-11.95,0
2.95,-19.25,0
14.85,-0.15,0
22.25,-20.25,0
-22.55,-5.65,0
15.05,18.95,0
17.65,-17.55,0
13.15,-11.15,0
21.15,1.35,0
-3.55,0.25,0
-16.45,3.45,0
-14.45,24.05,0
19.95,-10.55,0
-3.55,-21.35,0
1.85,-1.15,0
-10.75,-17.45,0
15.25,-3.65,0
2.65,-22.35,0
-18.15,-9.15,0
-9.25,-5.55,0
-4.75,-3.25,0
6.95,-6.15,0
-1.15,2.75,0
-9.55,-10.85,0
6.85,6.75,0
0.75,-15.45,0
19.75,-0.95,0
-21.15,-18.25,0
17.55,21.05,0
3.75,7.05,0
-4.55,-19.85,0
-6.65,-23.75,0
16.65,-1.65,0
-7.25,-18.25,0
24.85,14.85,0
-6.65,-9.95,0
-0.55,11.05,0
9.65,-22.95,0
3.85,-7.65,0
-10.85,10.35,0
7.25,24.75,0
-16.85,24.55,0
-12.15,-13.95,0
-24.95,-24.85,0
-5.25,4.15,0
-5.45,5.05,0
-18.45,-6.15,0
-6.35,-10.55,0
21.05,14.25,0
21.65,1.25,0
-22.15,8.95,0
-18.85,12.85,0
-4.45,-5.25,0
21.55,5.75,0
16.85,19.65,0
-0.25,-15.15,0
12.05,19.25,0
-2.05,23.75,0
16.35,13.95,0
0.45,-11.15,0
-21.35,0.25,0
17.85,3.25,0
18.45,-22.55,0
-24.45,19.25,0
-24.55,6.15,0
0.95,12.65,0
17.25,2.55,0
-0.35,-22.95,0
4.35,-22.75,0
-11.05,18.45,0
24.25,-24.55,0
18.55,19.05,0
4.05,-16.75,0
-8.55,-10.05,0
14.35,-10.75,0
18.95,4.35,0
5.65,20.25,0
-5.95,10.85,0
10.85,18.75,0
-8.55,-16.05,0
-5.35,-17.85,0
4.35,20.45,0
6.35,11.55,0
-16.75,-17.15,0
19.05,-13.35,0
-3.35,-13.95,0
3.75,-18.15,0
7.55,-13.95,0
-6.55,1.55,0
18.45,-12.75,0
2.95,-16.05,0
-1.35,23.35,0
-1.65,5.05,0
-10.75,-17.55,0
12.25,0.35,0
-20.55,-17.35,0
-18.35,-10.35,0
12.85,9.65,0
-7.65,16.25,0
11.85,-7.85,0
3.05,-18.85,0
-4.45,20.35,0
-12.75,-13.35,0
-10.65,-8.15,0
-11.45,10.45,0
-19.15,2.25,0
-4.55,-19.45,0
21.55,-8.65,0
20.65,-3.25,0
3.55,-13.85,0
-24.05,-2.75,0
18.85,-13.25,0
-3.35,19.95,0
-21.35,9.85,0
-22.65,3.45,0
-18.35,-8.55,0
0.05,-18.85,0
-12.15,21.25,0
-22.35,-9.65,0
-10.75,-13.55,0
14.45,-14.65,0
7.75,-20.65,0
1.75,15.45,0
-14.35,18.05,0
5.55,-21.25,0
16.35,18.35,0
0.25,-6.05,0
2.15,10.55,0
11.15,15.45,0
5.85,20.25,0
-14.65,23.45,0
-15.95,3.95,0
