x,z,taille
-7.10156,-19.4766,0.140625
-8.78906,-19.0547,0.140625
-8.92969,-18.9141,0.140625
-7.94531,-18.9141,0.140625
-7.80469,-19.0547,0.140625
-7.59375,-18.2812,0.5625
-5.69531,-20.1797,0.140625
-6.11719,-19.6172,0.140625
-6.11719,-19.4766,0.140625
-6.39844,-18.6328,0.140625
-6.25781,-18.6328,0.140625
-6.11719,-18.7734,0.140625
-6.46875,-18.2812,0.5625
-5.90625,-18.2812,0.5625
-5.0625,-18.5625,1.125
-11.25,-15.75,4.5
-6.75,-15.75,4.5
-9,-9,9
-11.25,-2.25,4.5
-6.75,-2.25,4.5
-13.2188,0.84375,0.5625
-12.8672,0.773438,0.140625
-12.5859,0.773438,0.140625
-11.8125,0.5625,1.125
-13.2188,1.40625,0.5625
-12.8672,1.33594,0.140625
-12.5859,1.33594,0.140625
-11.8125,1.6875,1.125
-10.8984,0.492188,0.140625
-10.7578,0.773438,0.140625
-10.6172,0.632812,0.140625
-9.5625,0.5625,1.125
-10.9688,1.96875,0.5625
-10.3359,2.17969,0.140625
-9.5625,1.6875,1.125
-13.2188,2.53125,0.5625
-12.7266,2.32031,0.140625
-12.5859,2.46094,0.140625
-13.2188,3.09375,0.5625
-12.0938,2.53125,0.5625
-11.5312,2.53125,0.5625
-12.0234,3.30469,0.140625
-12.9375,3.9375,1.125
-12.1641,3.58594,0.140625
-11.4609,3.44531,0.140625
-11.7422,3.72656,0.140625
-12.0938,4.21875,0.5625
-11.5312,4.21875,0.5625
-10.9688,2.53125,0.5625
-10.4062,2.53125,0.5625
-9.91406,2.74219,0.140625
-9.07031,2.46094,0.140625
-10.0547,2.88281,0.140625
-10.0547,3.02344,0.140625
-9.63281,3.30469,0.140625
-10.6875,3.9375,1.125
-9.77344,3.72656,0.140625
-9.07031,3.72656,0.140625
-6.75,2.25,4.5
-12.8672,4.57031,0.140625
-11.8125,5.0625,1.125
-13.2188,5.90625,0.5625
-12.5859,6.67969,0.140625
-11.8125,6.1875,1.125
-10.6875,5.0625,1.125
-9.63281,4.57031,0.140625
-9.84375,5.34375,0.5625
-9.28125,5.34375,0.5625
-10.4062,5.90625,0.5625
-9.84375,5.90625,0.5625
-9.35156,5.97656,0.140625
-9.91406,6.39844,0.140625
-9.28125,6.46875,0.5625
-12.9375,7.3125,1.125
-11.8828,6.82031,0.140625
-12.1641,7.10156,0.140625
-11.8828,7.38281,0.140625
-12.0234,7.66406,0.140625
-11.5312,7.59375,0.5625
-13.1484,7.94531,0.140625
-13.1484,8.22656,0.140625
-12.6562,8.15625,0.5625
-13.2188,8.71875,0.5625
-12.6562,8.71875,0.5625
-12.3047,8.22656,0.140625
-11.4609,8.50781,0.140625
-11.1797,7.10156,0.140625
-10.4062,7.03125,0.5625
-10.4062,7.59375,0.5625
-9.84375,7.03125,0.5625
-10.6875,8.4375,1.125
-9.5625,8.4375,1.125
-8.4375,5.0625,1.125
-7.3125,5.0625,1.125
-8.08594,5.69531,0.140625
-7.3125,6.1875,1.125
-6.1875,5.0625,1.125
-4.71094,4.85156,0.140625
-4.99219,5.27344,0.140625
-4.57031,5.55469,0.140625
-6.1875,6.1875,1.125
-5.34375,5.90625,0.5625
-5.34375,6.46875,0.5625
-8.4375,7.3125,1.125
-7.03125,7.03125,0.5625
-7.03125,7.59375,0.5625
-8.92969,8.22656,0.140625
-8.08594,8.36719,0.140625
-8.71875,8.71875,0.5625
-7.24219,8.36719,0.140625
-7.03125,8.71875,0.5625
-6.25781,7.10156,0.140625
-5.90625,7.03125,0.5625
-6.46875,7.59375,0.5625
-5.0625,7.3125,1.125
-6.53906,7.94531,0.140625
-6.39844,8.08594,0.140625
-6.67969,8.92969,0.140625
-5.0625,8.4375,1.125
-12.9375,9.5625,1.125
-11.5312,9.28125,0.5625
-12.0938,9.84375,0.5625
-11.5312,9.84375,0.5625
-13.2188,10.4062,0.5625
-13.1484,10.7578,0.140625
-12.6562,10.9688,0.5625
-12.0234,10.8984,0.140625
-12.1641,11.0391,0.140625
-10.9688,9.84375,0.5625
-9.35156,9.07031,0.140625
-9.84375,9.84375,0.5625
-9.28125,9.84375,0.5625
-10.7578,10.1953,0.140625
-10.4062,10.4062,0.5625
-10.9688,10.9688,0.5625
-10.4062,10.9688,0.5625
-9.28125,10.4062,0.5625
-13.2891,11.6016,0.140625
-13.0078,12.3047,0.140625
-12.8672,12.3047,0.140625
-11.8125,11.8125,1.125
-12.9375,12.9375,1.125
-11.8125,12.9375,1.125
-10.3359,12.0234,0.140625
-9.5625,11.8125,1.125
-10.6875,12.9375,1.125
-9.84375,12.6562,0.5625
-9.77344,13.1484,0.140625
-9.63281,13.4297,0.140625
-9.28125,13.2188,0.5625
-6.75,11.25,4.5
-11.25,15.75,4.5
-6.75,15.75,4.5
-13.1484,18.2109,0.140625
-12.4453,18.9141,0.140625
-11.8125,18.5625,1.125
-13.2188,19.4062,0.5625
-12.6562,19.4062,0.5625
-12.7266,20.0391,0.140625
-12.5859,20.1797,0.140625
-11.8125,19.6875,1.125
-11.0391,18.2109,0.140625
-10.4062,18.2812,0.5625
-9.84375,18.2812,0.5625
-10.6875,19.6875,1.125
-9.84375,19.4062,0.5625
-13.2188,20.5312,0.5625
-12.6562,20.5312,0.5625
-13.2188,21.0938,0.5625
-11.5312,20.5312,0.5625
-13.2188,21.6562,0.5625
-12.7266,21.5859,0.140625
-12.4453,21.4453,0.140625
-11.8125,21.9375,1.125
-10.6875,20.8125,1.125
-9.5625,20.8125,1.125
-10.6875,21.9375,1.125
-9.5625,21.9375,1.125
-6.75,20.25,4.5
-3.9375,-21.9375,1.125
-2.8125,-21.9375,1.125
-3.65625,-21.0938,0.5625
-4.21875,-20.5312,0.5625
-3.65625,-20.5312,0.5625
-2.8125,-20.8125,1.125
-1.47656,-22.0078,0.140625
-1.96875,-21.6562,0.5625
-1.40625,-21.6562,0.5625
-0.5625,-21.9375,1.125
-1.6875,-20.8125,1.125
-0.5625,-20.8125,1.125
-3.9375,-19.6875,1.125
-2.8125,-19.6875,1.125
-3.9375,-18.5625,1.125
-2.8125,-18.5625,1.125
-1.40625,-19.9688,0.5625
-2.03906,-19.1953,0.140625
-0.351562,-20.0391,0.140625
-1.05469,-19.6172,0.140625
-1.96875,-18.8438,0.5625
-1.40625,-18.8438,0.5625
-1.75781,-18.3516,0.140625
-1.61719,-18.2109,0.140625
-0.5625,-18.5625,1.125
0.0703125,-22.0078,0.140625
0.914062,-22.2891,0.140625
0.632812,-22.1484,0.140625
0.492188,-21.7266,0.140625
0.84375,-21.6562,0.5625
1.33594,-22.4297,0.140625
1.96875,-22.2188,0.5625
0.492188,-20.8828,0.140625
0.84375,-21.0938,0.5625
1.47656,-21.3047,0.140625
1.96875,-21.0938,0.5625
1.40625,-20.5312,0.5625
1.96875,-20.5312,0.5625
2.53125,-22.2188,0.5625
2.46094,-21.7266,0.140625
3.30469,-21.7266,0.140625
3.9375,-21.9375,1.125
3.09375,-21.0938,0.5625
3.9375,-20.8125,1.125
0.351562,-20.1797,0.140625
0.210938,-19.8984,0.140625
0.84375,-19.9688,0.5625
1.05469,-19.4766,0.140625
1.40625,-19.9688,0.5625
1.96875,-19.9688,0.5625
1.40625,-19.4062,0.5625
2.03906,-19.4766,0.140625
0.632812,-19.0547,0.140625
0.773438,-19.0547,0.140625
0.84375,-18.2812,0.5625
1.6875,-18.5625,1.125
2.53125,-19.9688,0.5625
2.74219,-19.3359,0.140625
3.9375,-19.6875,1.125
2.8125,-18.5625,1.125
3.9375,-18.5625,1.125
-3.72656,-17.7891,0.140625
-3.58594,-17.7891,0.140625
-4.42969,-17.3672,0.140625
-3.65625,-17.1562,0.5625
-3.30469,-17.6484,0.140625
-3.09375,-17.1562,0.5625
-2.53125,-17.1562,0.5625
-3.9375,-16.3125,1.125
-2.8125,-16.3125,1.125
-1.40625,-17.7188,0.5625
-2.17969,-16.9453,0.140625
-1.75781,-17.0859,0.140625
-0.492188,-17.9297,0.140625
-1.05469,-17.0859,0.140625
-0.914062,-16.9453,0.140625
-0.28125,-17.1562,0.5625
-1.6875,-16.3125,1.125
-0.5625,-16.3125,1.125
-3.86719,-15.2578,0.140625
-3.09375,-15.4688,0.5625
-3.09375,-14.9062,0.5625
-2.53125,-14.9062,0.5625
-3.9375,-14.0625,1.125
-2.8125,-14.0625,1.125
-1.6875,-15.1875,1.125
-1.05469,-15.5391,0.140625
-0.0703125,-15.3984,0.140625
-1.6875,-14.0625,1.125
-0.84375,-14.3438,0.5625
-0.28125,-13.7812,0.5625
2.25,-15.75,4.5
-2.25,-11.25,4.5
0.492188,-13.4297,0.140625
0.28125,-12.6562,0.5625
0.84375,-12.6562,0.5625
1.6875,-12.9375,1.125
0.5625,-11.8125,1.125
1.6875,-11.8125,1.125
2.53125,-13.2188,0.5625
3.02344,-13.1484,0.140625
2.46094,-12.8672,0.140625
2.74219,-12.4453,0.140625
3.65625,-12.6562,0.5625
4.14844,-12.8672,0.140625
4.00781,-12.4453,0.140625
4.42969,-12.4453,0.140625
3.16406,-12.3047,0.140625
2.60156,-11.6016,0.140625
2.60156,-11.3203,0.140625
3.09375,-11.5312,0.5625
3.9375,-11.8125,1.125
0.5625,-10.6875,1.125
1.89844,-10.8984,0.140625
2.17969,-10.7578,0.140625
1.40625,-10.4062,0.5625
0.773438,-9.91406,0.140625
0.351562,-9.49219,0.140625
0.492188,-9.35156,0.140625
0.84375,-9.28125,0.5625
1.40625,-9.84375,0.5625
1.75781,-9.77344,0.140625
1.40625,-9.28125,0.5625
1.89844,-9.07031,0.140625
2.32031,-10.1953,0.140625
3.09375,-10.4062,0.5625
3.9375,-10.6875,1.125
2.53125,-9.84375,0.5625
3.30469,-9.77344,0.140625
2.53125,-9.28125,0.5625
3.30469,-9.35156,0.140625
3.72656,-9.91406,0.140625
3.86719,-9.91406,0.140625
3.72656,-9.63281,0.140625
4.14844,-10.0547,0.140625
4.14844,-9.91406,0.140625
4.21875,-9.28125,0.5625
-3.9375,-8.4375,1.125
-3.09375,-8.15625,0.5625
-2.53125,-8.15625,0.5625
-3.9375,-7.3125,1.125
-2.60156,-7.52344,0.140625
-3.09375,-7.03125,0.5625
-1.6875,-8.4375,1.125
-0.632812,-8.78906,0.140625
-0.773438,-8.64844,0.140625
-0.632812,-8.50781,0.140625
-0.84375,-8.15625,0.5625
-0.351562,-8.08594,0.140625
-1.6875,-7.3125,1.125
-1.05469,-6.82031,0.140625
-3.65625,-6.46875,0.5625
-3.86719,-5.69531,0.140625
-3.16406,-6.53906,0.140625
-3.30469,-6.39844,0.140625
-2.32031,-6.25781,0.140625
-3.30469,-5.83594,0.140625
-2.46094,-5.83594,0.140625
-2.46094,-5.69531,0.140625
-3.9375,-5.0625,1.125
-2.17969,-6.25781,0.140625
-1.40625,-6.46875,0.5625
-1.96875,-5.90625,0.5625
-0.84375,-6.46875,0.5625
-1.96875,-4.78125,0.5625
-1.40625,-4.78125,0.5625
-0.5625,-5.0625,1.125
1.96875,-8.71875,0.5625
0.210938,-7.38281,0.140625
0.773438,-7.38281,0.140625
0.28125,-7.03125,0.5625
0.773438,-6.82031,0.140625
1.19531,-7.52344,0.140625
1.96875,-7.59375,0.5625
1.33594,-6.96094,0.140625
1.96875,-7.03125,0.5625
2.60156,-8.64844,0.140625
2.53125,-8.15625,0.5625
3.09375,-8.15625,0.5625
4.21875,-8.15625,0.5625
3.16406,-7.52344,0.140625
2.88281,-6.96094,0.140625
3.86719,-6.82031,0.140625
4.21875,-7.03125,0.5625
0.5625,-6.1875,1.125
1.6875,-6.1875,1.125
1.61719,-5.41406,0.140625
1.19531,-5.27344,0.140625
1.47656,-5.13281,0.140625
2.8125,-6.1875,1.125
3.72656,-5.83594,0.140625
4.42969,-6.11719,0.140625
4.42969,-5.83594,0.140625
2.8125,-5.0625,1.125
3.9375,-5.0625,1.125
0,0,9
-3.9375,5.0625,1.125
-2.8125,5.0625,1.125
-4.21875,5.90625,0.5625
-3.65625,5.90625,0.5625
-3.65625,6.46875,0.5625
-2.8125,6.1875,1.125
-1.47656,4.71094,0.140625
-1.96875,5.34375,0.5625
-1.40625,5.34375,0.5625
-0.5625,5.0625,1.125
-1.89844,5.83594,0.140625
-0.84375,6.46875,0.5625
-0.0703125,6.39844,0.140625
-3.9375,7.3125,1.125
-2.8125,7.3125,1.125
-4.21875,8.15625,0.5625
-4.21875,8.71875,0.5625
-3.44531,8.64844,0.140625
-2.8125,8.4375,1.125
-1.89844,7.10156,0.140625
-1.61719,6.82031,0.140625
-1.40625,7.59375,0.5625
-0.632812,6.82031,0.140625
-0.28125,7.03125,0.5625
-0.84375,7.59375,0.5625
-0.492188,7.66406,0.140625
-1.6875,8.4375,1.125
-0.28125,8.15625,0.5625
-0.773438,8.50781,0.140625
-0.0703125,8.92969,0.140625
2.25,6.75,4.5
-2.25,11.25,4.5
0.28125,9.28125,0.5625
1.47656,9.77344,0.140625
1.96875,9.84375,0.5625
0.5625,10.6875,1.125
1.40625,10.4062,0.5625
2.03906,10.6172,0.140625
1.96875,10.9688,0.5625
2.74219,9.07031,0.140625
3.30469,9.07031,0.140625
3.30469,10.0547,0.140625
3.65625,9.84375,0.5625
2.8125,10.6875,1.125
3.9375,10.6875,1.125
0.5625,11.8125,1.125
1.40625,11.5312,0.5625
1.40625,12.0938,0.5625
2.03906,12.3047,0.140625
0.28125,12.6562,0.5625
0.773438,12.4453,0.140625
0.914062,12.8672,0.140625
0.28125,13.2188,0.5625
1.6875,12.9375,1.125
2.8125,11.8125,1.125
3.58594,11.8828,0.140625
4.21875,12.0938,0.5625
2.53125,12.6562,0.5625
3.09375,12.6562,0.5625
2.46094,13.0078,0.140625
2.88281,13.1484,0.140625
3.65625,12.6562,0.5625
4.21875,12.6562,0.5625
0,18,9
5.0625,-21.9375,1.125
5.90625,-21.6562,0.5625
4.78125,-21.0938,0.5625
5.55469,-20.8828,0.140625
6.1875,-20.8125,1.125
6.82031,-22.4297,0.140625
6.96094,-22.2891,0.140625
6.82031,-22.0078,0.140625
6.82031,-21.4453,0.140625
7.59375,-21.6562,0.5625
8.22656,-21.8672,0.140625
8.71875,-21.6562,0.5625
6.96094,-20.8828,0.140625
7.59375,-20.5312,0.5625
8.50781,-20.8828,0.140625
8.71875,-20.5312,0.5625
4.85156,-20.1797,0.140625
5.34375,-19.9688,0.5625
4.99219,-19.1953,0.140625
5.34375,-19.4062,0.5625
6.25781,-19.8984,0.140625
5.97656,-19.6172,0.140625
4.78125,-18.8438,0.5625
5.34375,-18.8438,0.5625
4.85156,-18.2109,0.140625
4.85156,-18.0703,0.140625
6.11719,-18.6328,0.140625
6.53906,-18.6328,0.140625
5.83594,-18.2109,0.140625
6.96094,-20.0391,0.140625
7.59375,-19.9688,0.5625
8.22656,-20.1797,0.140625
8.08594,-19.7578,0.140625
8.36719,-19.8984,0.140625
8.78906,-20.1797,0.140625
8.50781,-19.7578,0.140625
8.36719,-19.3359,0.140625
8.78906,-19.6172,0.140625
7.24219,-19.0547,0.140625
7.03125,-18.2812,0.5625
8.15625,-18.8438,0.5625
8.78906,-18.9141,0.140625
8.15625,-18.2812,0.5625
11.25,-20.25,4.5
6.75,-15.75,4.5
11.25,-15.75,4.5
9,-9,9
9,0,9
4.99219,4.71094,0.140625
4.57031,4.85156,0.140625
5.41406,4.57031,0.140625
4.71094,5.41406,0.140625
5.55469,5.55469,0.140625
5.90625,4.78125,0.5625
6.46875,4.78125,0.5625
6.46875,5.34375,0.5625
5.34375,6.46875,0.5625
6.1875,6.1875,1.125
7.24219,4.71094,0.140625
7.38281,4.71094,0.140625
6.82031,5.41406,0.140625
7.10156,5.41406,0.140625
7.24219,5.41406,0.140625
8.4375,5.0625,1.125
7.03125,5.90625,0.5625
7.38281,5.83594,0.140625
7.80469,6.11719,0.140625
7.24219,6.67969,0.140625
8.4375,6.1875,1.125
5.0625,7.3125,1.125
5.83594,7.24219,0.140625
5.97656,7.10156,0.140625
5.83594,7.52344,0.140625
6.67969,7.80469,0.140625
4.78125,8.15625,0.5625
4.78125,8.71875,0.5625
7.24219,7.38281,0.140625
8.4375,7.3125,1.125
6.82031,8.50781,0.140625
6.96094,8.50781,0.140625
7.10156,8.78906,0.140625
8.22656,7.94531,0.140625
7.94531,8.64844,0.140625
8.92969,8.78906,0.140625
9.5625,5.0625,1.125
10.4062,4.78125,0.5625
10.7578,4.71094,0.140625
10.4062,5.34375,0.5625
10.8984,5.55469,0.140625
9.07031,6.11719,0.140625
9.77344,5.83594,0.140625
9.28125,6.46875,0.5625
9.77344,6.53906,0.140625
10.4062,5.90625,0.5625
10.7578,5.97656,0.140625
10.4766,6.67969,0.140625
10.9688,6.46875,0.5625
11.5312,5.34375,0.5625
11.8828,5.41406,0.140625
12.6562,5.34375,0.5625
13.2188,5.34375,0.5625
11.6016,5.83594,0.140625
11.6016,5.97656,0.140625
12.0938,5.90625,0.5625
11.5312,6.46875,0.5625
12.9375,6.1875,1.125
9.28125,7.03125,0.5625
9.28125,7.59375,0.5625
10.6875,7.3125,1.125
9.5625,8.4375,1.125
10.6875,8.4375,1.125
11.5312,7.59375,0.5625
12.9375,7.3125,1.125
11.8125,8.4375,1.125
12.6562,8.15625,0.5625
13.0078,7.94531,0.140625
13.4297,8.64844,0.140625
6.75,11.25,4.5
9.49219,9.21094,0.140625
9.35156,9.35156,0.140625
9.84375,9.28125,0.5625
10.9688,9.28125,0.5625
10.4766,9.77344,0.140625
10.1953,9.91406,0.140625
10.9688,9.84375,0.5625
9.5625,10.6875,1.125
10.9688,10.4062,0.5625
10.3359,11.1797,0.140625
11.1797,11.1797,0.140625
11.3203,9.07031,0.140625
12.0234,9.21094,0.140625
12.1641,9.21094,0.140625
12.0234,9.91406,0.140625
