vx,vz
# Ensemble de particules : N = 160 | d = 3.3e-10 | E_0 = 1.19e-21 | taille = 3.99e-10 | masse = 6.63e-26
152.96,-162.591
49.2974,-149.389
-55.5033,-212.723
-240.93,62.2428
-137.457,-2.5461
-225.327,-162.227
-132.684,229.179
252.807,87.2391
87.8302,3.15763
19.1287,-165.812
108.126,47.2469
-9.36681,-102.042
-61.3066,60.3696
10.8258,-193.706
-65.0547,316.602
-102.345,126.851
215.362,-422.632
-31.7114,-12.5502
109.603,91.048
-104.342,-299.759
-6.29311,-79.9457
-47.3707,-135.587
66.2934,-38.2776
117.351,-94.9135
-36.3215,479.033
-120.184,18.4937
-136.143,-19.7377
-131.539,162.255
-69.692,-149.224
-22.1219,30.3988
156.808,11.7879
25.0062,89.2496
37.0273,-64.8245
-16.0284,37.9144
6.22835,19.1442
-17.9819,25.8493
-132.742,-265.513
-125.276,73.805
78.994,25.8958
-27.0205,-150.386
-279.657,-322.172
65.1501,177.518
-127.779,333.012
238.172,91.7993
19.8332,153.091
-268.845,-115.637
39.5235,194.13
108.163,37.1963
118.371,110.983
-143.187,134.499
-198.33,-178.309
129.063,34.2761
183.445,60.4322
41.8295,74.4269
103.696,12.7933
50.3422,169.392
-113.71,-293.014
-80.768,19.842
99.6877,-263.692
-41.2971,204.127
-32.1982,20.2461
148.168,219.024
-5.22094,86.9879
-69.0442,-60.1991
107.036,131.569
-60.6737,11.4874
173.389,109.007
-104.448,114.967
28.7525,165.277
125.24,33.9343
-37.4449,238.529
139.751,206.164
-62.2615,-26.4689
-199.026,28.4356
15.9038,-20.7704
-121.51,-93.5345
290.336,-5.84338
53.7553,-30.6349
292.73,-67.7866
-206.853,209.05
-113.639,355.892
-143.291,39.0816
82.1141,-59.4901
65.1772,1.70044
-34.9712,55.9573
-19.4316,-326.715
477.634,73.4889
-114.75,112.733
-62.8956,265.015
68.2215,-145.218
-120.038,185.705
-111.264,-124.552
193.233,44.4641
-93.4362,-14.2962
105.676,-184.466
-308.514,283.562
-116.045,169.853
42.1384,-130.68
280.052,31.6743
228.784,-75.5246
-20.4273,84.0362
-148.833,152.01
-198.38,34.7431
-64.8142,-84.4021
